,SMB,HML,Regression L2_SMB_return,Regression L1_SMB_return,SVM_SMB_return,RF_SMB_return,MLP_SMB_return,KNN_SMB_return,LSTM_SMB_return,GB_SMB_return,AdaB_SMB_return,GRU_12_SMB_return,Regression L2_HML_return,Regression L1_HML_return,SVM_HML_return,RF_HML_return,MLP_HML_return,KNN_HML_return,LSTM_HML_return,GB_HML_return,Adab_HML_return,GRU_12_HML_return,Regression L2_SMB_or_HML_return,Regression L1_SMB_or_HML_return,SVM_SMB_or_HML_return,RF_SMB_or_HML_return,MLP_SMB_or_HML_return,KNN_SMB_or_HML_return,LSTM_SMB_or_HML_return,GB_SMB_or_HML_return,Adab_SMB_or_HML_return,GRU_12_SMB_or_HML_return
199208,-0.0012,-0.0103,-0.0012,-0.0012,0.0012,-0.0012,0.0012,0.0012,-0.0012,-0.0012,0.0012,-0.0012,-0.0103,-0.0103,-0.0103,-0.0103,-0.0103,-0.0103,-0.0103,-0.0103,0.0103,-0.0103,-0.0103,-0.0012,-0.0103,-0.0103,-0.0012,-0.0103,-0.0012,-0.0012,-0.0103,-0.0012
199209,0.0056,-0.0021,-0.0056,-0.0056,-0.0056,-0.0056,-0.0056,-0.0056,0.0056,-0.0056,-0.0056,0.0056,-0.0021,-0.0021,-0.0021,-0.0021,-0.0021,-0.0021,-0.0021,0.0021,0.0021,-0.0021,-0.0021,-0.0021,-0.0021,-0.0021,0.0056,-0.0021,0.0056,0.0056,-0.0021,-0.0021
199210,0.0205,-0.021,0.0205,0.0205,-0.0205,0.0205,-0.0205,-0.0205,-0.0205,0.0205,-0.0205,-0.0205,-0.021,-0.021,-0.021,-0.021,-0.021,-0.021,-0.021,-0.021,-0.021,0.021,0.0205,0.0205,-0.021,-0.021,0.0205,0.0205,0.0205,-0.021,-0.021,0.0205
199211,0.037,-0.0148,0.037,0.037,0.037,0.037,-0.037,-0.037,0.037,0.037,0.037,0.037,0.0148,0.0148,-0.0148,-0.0148,-0.0148,-0.0148,-0.0148,-0.0148,-0.0148,0.0148,0.037,0.037,-0.0148,-0.0148,0.037,-0.0148,0.037,0.037,-0.0148,0.037
199212,0.0164,0.0252,0.0164,0.0164,0.0164,0.0164,-0.0164,-0.0164,0.0164,0.0164,0.0164,0.0164,0.0252,-0.0252,0.0252,0.0252,0.0252,0.0252,0.0252,-0.0252,0.0252,-0.0252,0.0164,0.0164,0.0252,0.0252,0.0164,0.0252,0.0164,0.0164,0.0164,0.0252
199301,0.0203,0.0587,0.0203,0.0203,0.0203,0.0203,-0.0203,0.0203,0.0203,0.0203,0.0203,0.0203,0.0587,0.0587,0.0587,0.0587,0.0587,0.0587,0.0587,0.0587,-0.0587,0.0587,0.0203,0.0203,0.0587,0.0587,0.0203,0.0587,0.0203,0.0587,0.0587,0.0203
199302,-0.0343,0.0642,0.0343,-0.0343,0.0343,-0.0343,0.0343,0.0343,-0.0343,-0.0343,0.0343,-0.0343,0.0642,0.0642,0.0642,0.0642,0.0642,0.0642,0.0642,-0.0642,0.0642,0.0642,0.0642,0.0642,0.0642,0.0642,-0.0343,0.0642,-0.0343,-0.0343,0.0642,0.0642
199303,0.0023,0.0122,-0.0023,-0.0023,-0.0023,-0.0023,-0.0023,0.0023,0.0023,-0.0023,-0.0023,-0.0023,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0023,0.0122,0.0023,0.0122,0.0122,0.0122
199304,-0.007,0.0261,0.007,0.007,0.007,-0.007,0.007,0.007,-0.007,-0.007,0.007,0.007,0.0261,0.0261,0.0261,0.0261,0.0261,0.0261,0.0261,0.0261,0.0261,0.0261,0.0261,-0.007,0.0261,0.0261,-0.007,0.0261,-0.007,0.0261,-0.007,0.0261
199305,0.0196,-0.0341,-0.0196,0.0196,-0.0196,-0.0196,-0.0196,-0.0196,-0.0196,0.0196,-0.0196,0.0196,-0.0341,-0.0341,-0.0341,-0.0341,-0.0341,-0.0341,-0.0341,-0.0341,-0.0341,-0.0341,-0.0341,-0.0341,-0.0341,-0.0341,0.0196,-0.0341,0.0196,0.0196,0.0196,-0.0341
199306,-0.0031,0.0262,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,0.0031,0.0031,0.0031,-0.0031,-0.0262,-0.0262,0.0262,0.0262,0.0262,0.0262,0.0262,0.0262,0.0262,-0.0262,-0.0031,-0.0031,0.0262,0.0262,0.0262,0.0262,-0.0031,-0.0031,-0.0031,0.0262
199307,0.0093,0.0324,0.0093,0.0093,0.0093,-0.0093,0.0093,-0.0093,0.0093,0.0093,-0.0093,0.0093,0.0324,0.0324,0.0324,0.0324,0.0324,0.0324,0.0324,0.0324,-0.0324,0.0324,0.0324,0.0093,0.0324,0.0324,0.0324,0.0324,0.0093,0.0324,0.0324,0.0324
199308,0.0032,-0.0045,0.0032,0.0032,0.0032,-0.0032,0.0032,-0.0032,0.0032,0.0032,-0.0032,0.0032,-0.0045,-0.0045,-0.0045,-0.0045,-0.0045,-0.0045,-0.0045,0.0045,0.0045,-0.0045,-0.0045,-0.0045,-0.0045,-0.0045,-0.0045,-0.0045,0.0032,-0.0045,-0.0045,0.0032
199309,0.0311,-0.0045,0.0311,0.0311,0.0311,-0.0311,0.0311,-0.0311,0.0311,-0.0311,-0.0311,0.0311,-0.0045,-0.0045,-0.0045,-0.0045,-0.0045,-0.0045,-0.0045,0.0045,-0.0045,0.0045,0.0311,0.0311,-0.0045,-0.0045,-0.0045,-0.0045,0.0311,0.0311,-0.0045,0.0311
199310,0.0145,-0.0154,0.0145,0.0145,0.0145,0.0145,0.0145,-0.0145,0.0145,-0.0145,-0.0145,0.0145,-0.0154,-0.0154,-0.0154,-0.0154,-0.0154,-0.0154,-0.0154,0.0154,-0.0154,-0.0154,0.0145,0.0145,-0.0154,-0.0154,-0.0154,-0.0154,0.0145,0.0145,0.0145,0.0145
199311,-0.0143,-0.0027,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,-0.0143,0.0143,-0.0143,-0.0143,-0.0027,0.0027,-0.0027,-0.0027,-0.0027,-0.0027,-0.0027,0.0027,0.0027,-0.0027,-0.0143,-0.0143,-0.0027,-0.0027,-0.0027,-0.0027,-0.0143,-0.0143,-0.0143,-0.0143
199312,0.0122,0.0057,0.0122,0.0122,-0.0122,-0.0122,0.0122,-0.0122,0.0122,-0.0122,-0.0122,0.0122,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057,0.0122,0.0122,0.0122,0.0122,0.0122
199401,0.0014,0.0209,0.0014,0.0014,0.0014,0.0014,0.0014,-0.0014,0.0014,0.0014,0.0014,0.0014,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,-0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0209,0.0014,0.0014,0.0209,0.0014
199402,0.0273,-0.0144,0.0273,0.0273,0.0273,0.0273,0.0273,-0.0273,0.0273,-0.0273,-0.0273,0.0273,-0.0144,-0.0144,-0.0144,-0.0144,-0.0144,-0.0144,-0.0144,0.0144,-0.0144,-0.0144,-0.0144,-0.0144,-0.0144,-0.0144,-0.0144,-0.0144,0.0273,-0.0144,-0.0144,-0.0144
199403,-0.0098,0.0131,-0.0098,-0.0098,0.0098,0.0098,-0.0098,-0.0098,-0.0098,0.0098,0.0098,-0.0098,0.0131,0.0131,0.0131,0.0131,0.0131,0.0131,0.0131,0.0131,0.0131,0.0131,0.0131,0.0131,0.0131,0.0131,0.0131,0.0131,-0.0098,0.0131,0.0131,0.0131
199404,-0.0093,0.0168,0.0093,0.0093,0.0093,0.0093,-0.0093,0.0093,-0.0093,-0.0093,-0.0093,0.0093,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,-0.0168,-0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,0.0168,-0.0093,-0.0093,0.0168
199405,-0.0202,0.002,-0.0202,-0.0202,-0.0202,0.0202,-0.0202,-0.0202,-0.0202,0.0202,0.0202,-0.0202,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,-0.0202,0.002,0.002,0.002,0.002,-0.0202,0.002,-0.0202,0.002
199406,-0.0045,0.017,-0.0045,-0.0045,-0.0045,-0.0045,-0.0045,0.0045,-0.0045,0.0045,0.0045,-0.0045,0.017,0.017,0.017,0.017,0.017,0.017,0.017,-0.017,-0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,-0.0045,-0.0045,-0.0045,0.017
